Team,Position,Matches,Wins,Losses,For,Against,Different,Points,Away_wins,Home_losses,Home_away,Prev_round
Knights,1,1,1,0,20,0,20,2,0,0,1,0
Raiders,2,1,1,0,24,6,18,2,0,0,1,0
Storm,3,1,1,0,18,4,14,2,0,0,0,0
Wests Tigers,4,1,1,0,24,14,10,2,0,0,0,0
Broncos,5,1,1,0,28,21,7,2,0,0,0,0
Eels,6,1,1,0,8,2,6,2,0,0,1,0
Panthers,7,1,1,0,20,14,6,2,0,0,1,0
Rabbitohs,8,1,1,0,22,18,4,2,0,0,1,0
Sharks,9,1,0,1,18,22,-4,0,0,0,0,0
Bulldogs,10,1,0,1,2,8,-6,0,0,0,0,0
Roosters,11,1,0,1,14,20,-6,0,0,0,0,0
Cowboys,12,1,0,1,21,28,-7,0,0,0,1,0
Dragons,13,1,0,1,14,24,-10,0,0,0,1,0
Sea Eagles,14,1,0,1,4,18,-14,0,0,0,1,0
Titans,15,1,0,1,6,24,-18,0,0,0,0,0
Warriors,16,1,0,1,0,20,-20,0,0,0,0,0
